,Longitude,Latitude,S_vel_5km,S_vel_10km,S_vel_15km,S_vel_20km,S_vel_25km,S_vel_30km,S_vel_35km,S_vel_40km
85,-80.5,11.0,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
86,-80.0,11.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
87,-79.5,11.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
88,-79.0,11.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
89,-78.5,11.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
90,-78.0,11.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
91,-77.5,11.0,3.10649,3.11834,3.59498,4.0805,4.16252,4.16252,4.20415,4.24619
92,-77.0,11.0,3.1288,3.21866,3.23502,3.65282,4.1213,4.1213,4.16252,4.20415
93,-76.5,11.0,3.1435,3.18679,3.20299,3.63676,4.1213,4.1213,4.16252,4.20415
94,-76.0,11.0,3.11238,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
95,-75.5,11.0,3.06011,3.08135,3.09307,3.49364,4.0805,4.0805,4.1213,4.16252
96,-75.0,11.0,2.99021,3.17471,3.19683,3.21866,3.4282,3.4282,3.82988,4.0805
97,-74.5,11.0,3.00605,3.20647,3.22879,3.25085,3.29032,3.29032,3.67571,4.0805
98,-74.0,11.0,3.06859,3.30363,3.32663,3.35989,3.40602,3.40602,3.77914,4.18019
99,-73.5,11.0,3.20036,3.35557,3.49633,3.5202,3.85071,3.85071,3.96082,4.13692
100,-73.0,11.0,3.21652,3.38912,3.53129,3.57322,3.82302,3.82302,4.14306,4.33153
101,-72.5,11.0,3.12161,3.27376,3.42743,3.45084,3.90743,3.90743,3.96082,4.13692
102,-72.0,11.0,2.98503,3.19567,3.39349,3.41667,3.75986,3.75986,3.96082,4.13692
103,-71.5,11.0,2.95547,3.1311,3.34384,3.41667,3.45815,3.45815,3.75965,4.0805
104,-71.0,11.0,3.04624,3.29081,3.45713,3.47365,3.78305,3.78305,4.0805,4.1213
105,-81.0,10.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
106,-80.5,10.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
107,-80.0,10.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
108,-79.5,10.5,3.10854,3.23766,3.25934,3.66787,4.1213,4.1213,4.16252,4.20415
109,-79.0,10.5,3.12254,3.20561,3.22706,3.65166,4.1213,4.1213,4.16252,4.20415
110,-78.5,10.5,3.12812,3.18679,3.20299,3.63676,4.1213,4.1213,4.16252,4.20415
111,-78.0,10.5,3.12812,3.18679,3.20299,3.63676,4.1213,4.1213,4.16252,4.20415
112,-77.5,10.5,3.14329,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
113,-77.0,10.5,3.12161,3.14244,3.16348,3.61971,4.1213,4.1213,4.16252,4.20415
114,-76.5,10.5,3.06716,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
115,-76.0,10.5,3.0301,3.0907,3.11133,3.12567,4.0805,4.0805,4.1213,4.16252
116,-75.5,10.5,2.92839,3.05084,3.06802,3.08269,3.75179,3.75179,4.1213,4.16252
117,-75.0,10.5,2.90069,3.05084,3.06802,3.08269,3.61702,3.61702,4.0805,4.1213
118,-74.5,10.5,3.00277,3.14329,3.16518,3.18679,3.35914,3.35914,3.90184,4.33153
119,-74.0,10.5,3.20036,3.28769,3.35989,3.38284,3.5658,3.5658,4.00931,4.33153
120,-73.5,10.5,3.28085,3.40545,3.53129,3.5554,3.92671,3.92671,3.96082,4.13692
121,-73.0,10.5,3.21715,3.40545,3.53129,3.5912,3.94619,3.94619,3.96082,4.13692
122,-72.5,10.5,3.02981,3.22763,3.42743,3.49667,3.87637,3.87637,3.91514,3.95429
123,-72.0,10.5,2.85421,3.12251,3.39349,3.42743,3.47448,3.47448,3.79307,4.13552
124,-71.5,10.5,2.92622,3.14926,3.41106,3.48535,3.5548,3.5548,3.77339,4.13692
125,-71.0,10.5,3.02981,3.22763,3.44466,3.52044,3.62625,3.62625,3.8094,4.13692
126,-81.0,10.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
127,-80.5,10.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
128,-80.0,10.0,3.14403,3.21866,3.23502,3.65282,4.1213,4.1213,4.16252,4.20415
129,-79.5,10.0,3.15903,3.18679,3.20299,3.63676,4.1213,4.1213,4.16252,4.20415
130,-79.0,10.0,3.14329,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
131,-78.5,10.0,3.11238,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
132,-78.0,10.0,3.09715,3.15524,3.17128,3.62085,4.1213,4.1213,4.16252,4.20415
133,-77.5,10.0,3.06011,3.08052,3.10115,3.58839,4.1213,4.1213,4.16252,4.20415
134,-77.0,10.0,3.05084,3.06245,3.1248,3.62085,4.1213,4.1213,4.16252,4.20415
135,-76.5,10.0,2.9407,2.96111,2.97238,3.43318,4.0805,4.0805,4.1213,4.16252
136,-76.0,10.0,2.82595,2.84558,2.8564,3.37508,4.0805,4.0805,4.1213,4.16252
137,-75.5,10.0,2.7875,2.9318,2.94831,2.96241,3.91119,3.91119,4.1213,4.16252
138,-75.0,10.0,2.75663,2.89032,3.073,3.15524,3.46093,3.46093,3.95477,4.33153
139,-74.5,10.0,2.89724,3.05349,3.19259,3.20786,3.64892,3.64892,4.0805,4.1213
140,-74.0,10.0,3.12161,3.27376,3.4229,3.43926,3.76569,3.76569,4.0805,4.2487
141,-73.5,10.0,3.23236,3.38912,3.53129,3.62772,3.8599,3.8599,4.14306,4.33153
142,-73.0,10.0,3.12161,3.32543,3.53129,3.57322,3.85071,3.85071,3.96082,4.13692
143,-72.5,10.0,2.91159,3.16823,3.42743,3.46171,3.7646,3.7646,3.91514,3.95429
144,-72.0,10.0,2.78419,3.07754,3.35989,3.41054,3.67643,3.67643,3.91514,3.95429
145,-71.5,10.0,2.82624,3.07286,3.32696,3.39349,3.50923,3.50923,3.59829,3.92328
146,-71.0,10.0,2.97011,3.19763,3.44466,3.50281,3.60844,3.60844,3.8094,4.13692
147,-81.0,9.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
148,-80.5,9.5,3.1298,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
149,-80.0,9.5,3.17632,3.28336,3.30004,3.68544,4.1213,4.1213,4.16252,4.20415
150,-79.5,9.5,3.22253,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
