Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault,Curie Depth (Km),Vertical Gravity Gradient (E),Free Air Anomaly (mGal),Bouguer Anomaly (mGal),Nearest Basement,Nearest Volcano,Volcanic domain,Volcanic weight,Gradient Weight,sample_weight
4.216078,-74.888898,0.1005566110397946,0.8994433889602054,21.29439360657496,0.7204546017037152,0.35989726367400804,0.053527349408438486,0.10236174611811245,0.02287678449799652,0.07517413605862612,0.10218052557094749,0.41887147170619904,0.03624972557500357,0.6428571428571429,0.3415393526898849,0.09609959138749402,0.24117242685737394,0.10792641976071608,0.03462944651971334,True,1,0.0258103974646728,0.0258103974646728
4.21472,-74.89122,0.10153478818998717,0.8984652118100129,23.783404425043347,0.720640865242119,0.35989726367400804,0.054496881162804184,0.1027941540640037,0.02220052791459824,0.07442232970627646,0.10140494196171124,0.4182054602805944,0.03563562577341583,0.6428571428571429,0.3415393526898849,0.09609959138749402,0.24117242685737394,0.10714493018999008,0.0344568429130424,True,1,0.0254600300835591,0.0254600300835591
0.606276,-76.564731,0.08832939666238766,0.9116706033376123,24.15632262212504,0.4121713405329803,0.5152830252103469,0.12188618700829752,0.16822585332442846,0.11230990655491545,0.28374606429544563,0.15321246947997993,0.761431195561453,0.11218879248049682,0.3571428571428571,0.4677431033234379,0.3194606369952535,0.6153212041886367,0.1736263555012612,0.08120621262924699,False,4,0.0254600300835591,0.1018401203342365
0.305911,-76.914853,0.029051861360718866,0.9709481386392811,25.60124487646043,0.4838694543769535,0.5218742695612951,0.1260228082253457,0.14417662972525763,0.09770074313679802,0.24040974216397915,0.2322409026659371,0.8429786048779255,0.10571648979680946,0.3571428571428571,0.4605024980088336,0.31608999380890146,0.6285215675765664,0.1767123151898928,0.09358502265229114,False,4,0.0301967797818107,0.1207871191272429
0.287539,-76.911964,0.09547008985879332,0.9045299101412065,26.559722016738124,0.4778173472867504,0.5218742695612951,0.1300037463216445,0.14974734609048795,0.10180870415852035,0.2448985444084535,0.2374051813805392,0.8477852517673393,0.10463142754273586,0.3571428571428571,0.4605024980088336,0.3608722569993809,0.6444606431058482,0.18152534543776275,0.09585291434254178,False,4,0.0432820506850756,0.1731282027403024
0.298083,-76.910869,0.09194865211810012,0.9080513478818999,26.82559178018877,0.4797954774123363,0.5218742695612951,0.12865319850808535,0.1468797183439218,0.10014584220270993,0.24289057873453185,0.23429778809896773,0.8449720781869376,0.10605119866932088,0.3571428571428571,0.4605024980088336,0.31608999380890146,0.6444606431058482,0.17983980334750968,0.09476850004612648,False,4,0.0432820506850756,0.1731282027403024
0.289872,-76.917192,0.029736585365853656,0.9702634146341462,26.82819925083637,0.48108969008964997,0.5218742695612951,0.1277946681372729,0.1484704373571797,0.10003557572299648,0.243323499657621,0.23700101822590128,0.8472715869983818,0.10326222972365223,0.3571428571428571,0.4290782709434509,0.3608722569993809,0.632870033535293,0.17896461345922499,0.09506428229625988,False,4,0.0432820506850756,0.1731282027403024
0.310628,-76.916756,0.0305191270860077,0.9694808729139923,22.70197751231872,0.4861234127353229,0.5218742695612951,0.12463240174254057,0.14260789765421886,0.09636778771123473,0.2390202622441172,0.23097964181711741,0.841768142361953,0.10451778844366612,0.3571428571428571,0.4290782709434509,0.31608999380890146,0.6171799498244855,0.1750457186836314,0.09288624003223368,False,4,0.0254600300835591,0.1018401203342365
0.295367,-76.917789,0.0996762516046213,0.9003237483953788,31.068843043658934,0.4827612787958788,0.5218742695612951,0.1266676239257145,0.14683092424883037,0.09885236964596641,0.2420296206186674,0.23544443156704611,0.8458289473733147,0.10365477871448112,0.3571428571428571,0.4290782709434509,0.31608999380890146,0.632870033535293,0.17760365457663924,0.09455548935060729,False,4,0.086564099150559,0.346256396602236
0.302839,-76.919417,0.09605308344030808,0.9039469165596918,26.55446655800609,0.48552992565429576,0.5218742695612951,0.12488900183906497,0.1445078946328128,0.09705821809199135,0.24010696226179934,0.23337358697476862,0.8438840088998736,0.10398830836422265,0.3571428571428571,0.4290782709434509,0.31608999380890146,0.6171799498244855,0.17546257824937764,0.09377405739865763,False,4,0.0432820506850756,0.1731282027403024
0.302231,-76.918911,0.09231546854942232,0.9076845314505775,26.78216157169409,0.4851006574628376,0.5218742695612951,0.12516357736172626,0.1447407296295779,0.09730028182894619,0.2403407664410555,0.23352169803902714,0.8440346548667655,0.10407181130274104,0.3571428571428571,0.4290782709434509,0.31608999380890146,0.6171799498244855,0.17578574754961665,0.09388074860202415,False,4,0.0432820506850756,0.1731282027403024
5.830164,-74.321856,0.09194865211810012,0.9080513478818999,25.40374243116612,0.6147943315954998,0.5894545562567768,0.12663195495214863,0.10659805759774833,0.002329220242832186,0.1384335005210063,0.07678200213793186,0.28761413756431864,0.044914845064146836,0.7857142857142857,0.41445224820795024,0.2209534126711151,0.503938297672473,0.009305111340180089,0.0795945234435019,False,4,0.0301967797818107,0.1207871191272429
8.073272,-73.606028,0.022106803594351732,0.9778931964056483,19.41525407748028,0.4592859791206716,0.6227719420855428,0.056755298271609404,0.08983778707586579,0.07463110378464291,0.20505541309993425,0.07610017016604102,0.316023662521972,0.06958074977390397,0.7857142857142857,0.38911012960683516,0.17286920272408338,0.4641829882861976,0.06696401498237457,0.37420054337402786,False,4,0.02,0.08
