Latitude,Longitude,Predicted Geothermal Gradient (°C/Km)
6.489972,-74.384625,24.459362
9.260822,-75.290158,18.597748
4.7638861,-72.4661111,22.837069
4.781961,-74.570578,26.112368
3.835417,-75.268889,24.201595
5.773514,-72.856186,35.408073
5.6470129,-71.368969,23.810255
7.483973,-73.403262,21.088987
7.478847,-73.410619,21.885983
7.484622,-73.410725,20.487936
7.475219,-73.40935,21.31339
7.492242,-73.410364,20.554789
7.482178,-73.412922,21.248087
7.481753,-73.411364,21.21461
7.487175,-73.410792,20.382536
7.479717,-73.40675,23.193535
7.485386,-73.408064,20.84516
7.467947,-73.408511,21.5989
7.477842,-73.405792,21.535473
7.473283,-73.4086,22.91442
7.483008,-73.411114,21.21461
7.479039,-73.408364,21.882349
7.480789,-73.401178,20.963264
7.471456,-73.408117,25.54973
7.493158,-73.408014,20.509787
7.462414,-73.408131,21.17492
7.482208,-73.407292,24.399317
9.231425,-74.556922,22.801455
9.21465,-74.587758,22.55395
9.218033,-74.584131,22.203167
9.224839,-74.574153,22.890896
9.228336,-74.562744,23.327875
9.203231,-74.587808,22.397877
9.208278,-74.583161,22.494606
9.216444,-74.576575,22.5176
9.199942,-74.592744,22.577467
9.220792,-74.5678,22.444958
9.216822,-74.576328,22.602049
9.232525,-74.562228,22.640812
9.237792,-74.545033,22.059608
9.211719,-74.571933,22.582672
9.236211,-74.55585,22.528818
9.196169,-74.597975,22.401855
9.233342,-74.567828,22.257963
9.210414,-74.584356,22.585346
9.248233,-74.540561,21.93583
9.189358,-74.606556,22.438824
9.196047,-74.567292,22.084066
9.238514,-74.550572,22.291147
9.108661,-74.556386,22.80039
9.118547,-74.562319,22.418242
9.093069,-74.536558,24.426085
9.080206,-74.513619,23.025946
9.119539,-74.561325,21.817081
5.1048161,-72.1439013,25.237175
3.961594,-75.217383,25.375334
7.31963,-73.769108,19.70823
7.315169,-73.762664,19.772993
5.989097,-74.432161,19.497728
6.855544,-73.553714,20.660572
6.079089,-74.592103,27.966759
3.125181,-75.277019,24.541927
3.122977,-75.276194,23.324104
3.129172,-75.275067,23.343832
3.126244,-75.283472,25.080116
3.125353,-75.276669,24.541927
3.129214,-75.275417,23.459858
3.123103,-75.276058,23.63524
3.128622,-75.27415,23.04541
5.879708,-74.487214,18.869703
5.898353,-74.489806,18.986546
9.153222,-73.017442,33.703407
5.613309,-71.360866,30.783392
6.401422,-76.826092,17.844042
4.8222444,-72.7956722,24.285412
4.9964,-72.7026444,22.075903
