Longitude,Latitude,Elevation (m),Distance To Nearest Volcano (m),Radius (m),Number of Volcanoes Nearby,Moho Depth (m),Magnetic Anomaly (nT)
-75.52140168934962,4.840571248848859,2810.9803921568628,7165.509206445619,12165.509206445618,1,41694.6481865115,-16.1591
-75.0545420420138,10.547460141393708,0.0,544780.1992909332,549780.1992909332,1,33386.686410816204,-64.9108
-76.05762083320656,2.112634485173883,2083.1372549019607,7940.162218689258,12940.162218689258,3,46479.56536218764,-12.437
-77.40261552253968,3.28244640330466,0.0,154804.27774851234,159804.27774851234,11,30446.621574787456,-6.0198
-74.50317025743706,3.149476623915226,752.9411764705882,157746.82258056186,162746.82258056186,2,40159.12756582819,-10.8671
-68.43344372008178,2.4540832893567677,125.49019607843137,779079.5346537477,784079.5346537477,2,33670.42224827963,63.1393
-75.58267976667229,1.6211908451403083,326.27450980392155,40364.20859518709,45364.20859518709,1,38039.44389422133,29.8554
-74.307318400907,1.9819228134446973,351.37254901960785,180891.99950658568,185891.99950658568,1,33466.647958699774,1.016
-72.19795525240643,5.828335089254104,702.7450980392157,306241.141885716,311241.141885716,1,38298.64044356489,-74.0166
-71.50747962419321,-1.7299105526676333,100.3921568627451,611341.1254248334,616341.1254248334,1,32616.63650984122,-2.0013
-73.95562712760197,0.6885024583013868,200.7843137254902,248554.99782357074,253554.99782357074,2,30688.254640511357,-6.3041
-73.60700802149005,8.060506649522143,50.19607843137255,306938.35789638315,311938.35789638315,1,37336.27218369268,23.5712
-73.55309806258204,10.369676887424301,1154.5098039215686,547283.0808528013,552283.0808528013,1,27349.180273788264,-6.4748
-74.05578168026003,4.348817014284974,3137.254901960784,124435.06925786666,129435.06925786666,2,46831.947194084576,-68.7803
-73.4877196014364,10.810864599059972,3764.705882352941,596386.2226415335,601386.2226415335,1,27648.49112823037,-26.0649
-77.37138316347173,6.986755961051756,225.88235294117646,297431.2386131642,302431.2386131642,1,31125.184822304916,23.1034
-70.96152775440984,3.1842522038483265,200.7843137254902,486808.8786871323,491808.8786871323,2,34473.26206605467,-29.7217
-70.72125079632143,2.651287733584632,175.68627450980392,531303.4229633362,536303.4229633362,2,34574.27687915929,-32.9079
-70.60612451460463,4.780819553608826,125.49019607843137,491695.51393655734,496695.51393655734,1,34624.088640782706,1.5359
-72.29544700034,-1.4971796753074167,150.58823529411765,523856.80131154537,528856.8013115453,1,32157.715440453343,-18.4724
-74.79985010919745,9.24939744060595,0.0,400732.2868943334,405732.2868943334,1,36655.91789356039,7.5795
-77.56289994454632,2.1646433925911044,803.1372549019608,101518.01927847463,106518.01927847463,3,34726.93379063922,-45.7845
-72.36828152268761,2.558104758840959,200.7843137254902,372907.99000519863,377907.99000519863,2,32950.17905048805,41.0932
-73.34763253890672,4.156770839836312,250.98039215686273,204625.966638186,209625.966638186,2,37067.00989824798,-139.5807
-77.10737467057233,4.204114638761936,0.0,186009.75790703497,191009.75790703497,1,36579.14034049575,-12.79
-69.07475171609792,5.704133498036709,100.3921568627451,651232.2680489705,656232.2680489705,1,36474.444924097,-8.267
-69.9932289105895,-2.352351656549411,100.3921568627451,791372.9426478365,796372.9426478365,1,32878.587508020304,31.7934
-74.15453661823656,6.4653298889171715,125.49019607843137,127169.70687512984,132169.70687512984,1,39654.148280704474,30.2507
-76.02668738534622,2.566861802441621,1581.1764705882354,30092.645536086668,35092.64553608667,1,49628.59501956606,-8.3567
-70.20396874685918,4.862324984715391,100.3921568627451,533839.3514172112,538839.3514172112,1,34367.6016482126,-19.2205
-73.58637132682034,9.150133689529811,50.19607843137255,417726.6523425052,422726.6523425052,1,36225.39994412968,-35.7961
-68.89969921749112,4.099140160927465,125.49019607843137,693185.5592604536,698185.5592604536,2,35298.71977582863,46.7067
-74.39521144258839,6.048310773625699,150.58823529411765,76648.53328722365,81648.53328722365,1,38799.93954725634,18.7136
-74.94556758352108,4.145231677388034,326.27450980392155,38115.9146990371,43115.9146990371,2,43030.14826499653,-39.6067
-75.9090657374374,0.46658333175639743,225.88235294117646,84119.49032915042,89119.49032915042,1,32599.661261950212,15.4286
-70.12016518181478,-1.3984096065870801,100.3921568627451,731602.0737358445,736602.0737358445,2,33203.30370794706,10.5426
-70.65620771205074,5.134050975156329,125.49019607843137,479874.4867949239,484874.4867949239,1,34162.05825153201,-22.0708
-76.67730720692617,4.355588797864424,100.3921568627451,141430.72554509324,146430.72554509324,2,35775.12878654391,16.5807
-70.8961196139677,0.5524753561101798,200.7843137254902,574280.3876220351,579280.3876220351,1,32452.676490918744,-48.7612
-76.48717049952515,5.5317424669339275,75.29411764705883,129510.92050128039,134510.9205012804,1,34158.60638232923,94.6774
-69.28095483867483,4.585937136400322,125.49019607843137,639970.4216098991,644970.4216098991,1,35675.14731600495,-20.0772
-71.63905945705285,-1.845641160261903,100.3921568627451,605998.5686924094,610998.5686924094,1,32710.301107925796,5.6002
-70.36252699654631,2.7866124755993606,150.58823529411765,563543.972757821,568543.972757821,2,34504.934902630084,-28.578
-73.4979266023267,5.592622572279495,2459.607843137255,161920.6142944717,166920.6142944717,1,43434.3915662171,38.3048
-71.78228992216398,-0.27582599153756826,175.68627450980392,512512.3472316093,517512.3472316093,2,31425.07906375708,-28.8109
-73.54920689396144,7.907232055730619,50.19607843137255,295493.69518318295,300493.69518318295,1,38201.366210679014,23.6557
-73.64544782178912,3.5080961811939826,301.1764705882353,196648.76754377066,201648.76754377066,2,35133.58113162855,-18.2266
-74.6545927157288,8.714048916076909,0.0,342476.49144987616,347476.49144987616,1,37679.12098983371,-37.4759
-76.15294881018659,2.3902136361008726,2710.5882352941176,17625.132640712633,22625.132640712633,2,49235.1548445251,-10.2513
-72.07871676388748,3.4290434201386057,225.88235294117646,360220.5407532762,365220.5407532762,2,33910.15359247061,-29.8648
-72.2713552946871,2.1081267692995453,175.68627450980392,407284.2729142914,412284.2729142914,4,32557.137568060363,39.4097
-74.33987235660315,8.3386240283655,150.58823529411765,306800.89841463906,311800.89841463906,1,37972.91444749742,-37.9444
-77.28449882938882,5.530061668609033,200.7843137254902,215644.72521295666,220644.72521295666,2,31819.689188502285,8.4558
-72.22110582366611,-1.2652049557297187,125.49019607843137,516696.1793002896,521696.1793002896,1,32131.876960472946,-26.3582
-69.95098375729901,6.694617504704473,75.29411764705883,565818.4437623105,570818.4437623105,1,34540.13251707,-101.388
-72.69187169458895,10.884973150774616,476.8627450980392,633417.5712350922,638417.5712350922,1,31324.92280612434,-17.2521
-74.56978661800383,2.408375438560645,476.8627450980392,155799.0478921165,160799.0478921165,1,34558.325946187186,24.2534
-74.48960115835308,1.2554941110439222,250.98039215686273,168436.2813277646,173436.2813277646,1,33325.9602619655,-42.6711
-71.61492158340577,6.887672325769536,175.68627450980392,394550.1465822725,399550.1465822725,1,37696.68320796886,-18.5788
-77.92492258693568,0.9252891961213798,3689.4117647058824,3481.1060780154535,8481.106078015453,2,44834.693526434385,-19.3951
-74.566033619209,4.687607473949615,1530.9803921568628,74957.82816482945,79957.82816482945,2,44781.37497675519,3.3118
-68.69720148774812,4.9805651875433234,100.3921568627451,697368.7410051966,702368.7410051966,1,36598.19849950579,24.7707
-71.90758246453244,1.6252001717445568,225.88235294117646,446138.9840708864,451138.9840708864,1,31349.304719859283,9.8416
-74.64078573377844,9.36336046063622,0.0,414511.5002431805,419511.5002431805,1,37628.01946266113,-11.3077
-69.93947729064715,-3.051005822435526,100.3921568627451,837461.8661975153,842461.8661975153,1,32992.21205581808,27.4871
-75.63213982532872,6.711066020602276,2635.294117647059,139521.1512505677,144521.1512505677,1,38550.60276118844,-18.0743
-74.65025851441564,4.298389330722884,351.37254901960785,59458.25408403712,64458.25408403712,2,44043.87091451207,-45.0844
-73.55759212221777,8.300923099321542,276.078431372549,333029.7972283914,338029.7972283914,1,37231.71709687663,26.2842
-71.42693353035455,-0.3589065886418896,175.68627450980392,552122.3113015145,557122.3113015145,2,30736.112826781784,-10.7785
-68.762070311016,3.4853942925498487,125.49019607843137,718821.0544598151,723821.0544598151,2,34651.51084492477,-6.4946
-74.27890525432571,3.807027176916847,3890.1960784313724,119372.8133532096,124372.8133532096,2,46746.66529828465,-56.8527
-76.1666011798495,8.157179458666498,50.19607843137255,309060.35108033835,314060.35108033835,1,33311.85013928919,-6.8873
-74.2201394412648,-0.19487140835601924,150.58823529411765,265491.68770889903,270491.68770889903,1,31754.994678121308,-16.9204
-68.35599529372888,3.358862809446629,125.49019607843137,765494.306025453,770494.306025453,2,34244.589620941384,4.0853
-77.02746910423093,7.853947974563935,0.0,334995.2869258345,339995.2869258345,2,31121.002193533877,-38.5483
-74.79447563861112,10.223400439498212,25.098039215686274,508973.7184787423,513973.7184787423,1,35956.090651549865,-21.0224
-72.99947099449277,6.548820239823094,1957.6470588235293,238746.3827373677,243746.3827373677,1,39487.12622434614,-26.0978
-74.06025802291637,9.060130024109158,25.098039215686274,392058.547975432,397058.547975432,1,35671.2121696624,-36.5939
-73.64865968187158,6.846674138122458,125.49019607843137,196839.3347423265,201839.3347423265,1,43692.264126531496,16.9553
-72.403791231134,6.888079730415134,1957.6470588235293,314340.403702624,319340.403702624,1,42680.10240114876,-20.0486
-74.44107839632788,5.237958466824164,1154.5098039215686,73412.66643304234,78412.66643304234,2,43467.07664877586,11.9956
-70.26195780381326,-3.6239582682728644,150.58823529411765,846589.6792617226,851589.6792617226,1,33109.31065574447,22.3595
-73.0353687140236,4.042222512694208,175.68627450980392,240777.86085424342,245777.86085424342,2,37127.386064400824,-116.9194
-70.95733349839146,-0.30384237582806817,150.58823529411765,597389.568521687,602389.568521687,1,31690.73216287818,-50.5624
-74.69848541568403,7.369435966288627,150.58823529411765,193470.8717183965,198470.8717183965,1,38400.292800924406,-16.9838
-75.55753028137283,0.7421193528866095,200.7843137254902,83917.3475842834,88917.3475842834,1,32504.78054078499,3.8029
-69.88796198081468,6.603011552166331,75.29411764705883,570706.339360497,575706.339360497,1,34927.11548468436,-86.5805
-73.96839791553154,1.2799809527116688,225.88235294117646,223260.93128238595,228260.93128238595,1,31122.10432138364,-88.9767
-69.97397786113078,5.904340766698887,75.29411764705883,552338.414719374,557338.414719374,1,34312.045024898216,-54.2895
-67.57033722347632,2.1671976799945494,100.3921568627451,880081.8818048883,885081.8818048883,2,34085.78666641167,-56.3465
-70.38126422754829,6.428993020672049,100.3921568627451,513681.30498832004,518681.30498832004,1,33620.889093915845,-64.0768
-67.65632380569178,3.7368199211452557,75.29411764705883,836836.1780123009,841836.1780123009,3,35861.85580406852,-32.2524
-68.66059200038868,3.218682240354096,125.49019607843137,734787.1171811094,739787.1171811094,2,34712.45890948125,44.4112
-70.27151137357524,0.6242299731493883,175.68627450980392,640383.126481022,645383.126481022,1,33632.483833164006,-17.0797
-71.86985033268078,3.234823194675702,200.7843137254902,389070.8058544723,394070.8058544723,2,35582.31405345092,-37.1465
-69.09865028666722,2.7505291950026116,150.58823529411765,698995.1292740066,703995.1292740066,2,36380.27993318974,-26.5794
-77.04916598854982,5.294914595841908,100.3921568627451,182704.47226781992,187704.47226781992,2,34470.004805473436,-4.2489
-73.48377334780338,4.031296831050385,301.1764705882353,192161.7479085111,197161.7479085111,2,36146.50597185477,-127.6378
-73.71910653480262,5.648025820137487,2810.9803921568628,137316.78409356548,142316.78409356548,1,44364.75747874124,45.4905
-74.60643150746647,6.47787457555312,552.156862745098,100114.8593859044,105114.8593859044,1,36592.90790386027,26.9411
-75.73997750372543,3.8457292944619397,2911.372549019608,81353.031504327,86353.031504327,1,41884.95943066566,-29.0549
-70.63159109737236,3.212750148711768,175.68627450980392,521258.9726147419,526258.9726147419,2,33944.10487297948,-26.2682
-72.02819020747735,2.0473447920141226,200.7843137254902,433643.70051245485,438643.70051245485,3,32563.829164399955,59.5129
-76.60631854282778,2.735137737876829,1681.5686274509803,52439.86869902819,57439.86869902819,9,42016.774607561325,-21.1051
-75.06238807630871,5.556389414458904,1631.3725490196077,4922.235050985712,9922.235050985713,1,41163.20216435229,16.1757
-70.66378183808303,5.03624970115866,125.49019607843137,480500.3957679519,485500.3957679519,1,34312.275333319776,-25.8302
-77.2864740604525,1.8881639416818654,928.6274509803922,58100.48045587079,63100.48045587079,2,37695.1798161903,-20.4696
-72.80328956724469,11.014864602368746,301.1764705882353,642073.5059141031,647073.5059141031,1,30330.351730800794,-25.4483
-70.34216335394272,0.09546760703022628,175.68627450980392,647002.1161117933,652002.1161117933,1,33541.43685904985,-1.5263
-73.71487961032332,6.49997574604364,527.0588235294117,167058.11785671534,172058.11785671534,1,44085.73058481248,15.7307
-74.26714821393188,-0.8379094111927796,150.58823529411765,308423.2048931408,313423.2048931408,1,31093.119128707967,-19.415
-74.94559222028128,8.406576024178337,0.0,306629.6437314177,311629.6437314177,1,37539.402873849824,-23.8515
-72.29835982321995,11.826133083868438,0.0,746502.7196982851,751502.7196982851,1,30722.399418255223,-90.4028
-75.68983608790498,10.146652036444598,0.0,506527.73197807436,511527.73197807436,1,29058.873086580377,-57.2135
-76.64835128700275,8.599638499930675,100.3921568627451,377276.5470328588,382276.5470328588,1,31258.132807433136,-30.158
-70.7812835799202,3.028526010713639,175.68627450980392,510984.8178555583,515984.8178555583,2,34199.24015216224,-40.4168
-76.14042660123603,4.425709210206527,903.5294117647059,83886.44126963141,88886.44126963141,2,30748.05367865973,-31.9163
-70.28154448061761,-2.2558233364745166,100.3921568627451,758251.6425570535,763251.6425570535,1,32568.96028221241,19.4529
-71.72570095494453,3.760835582875772,175.68627450980392,389308.0677603078,394308.0677603078,2,35310.67779717014,-56.4569
-75.22406861298134,10.222079467939594,0.0,509330.4156652912,514330.4156652912,1,33045.05970356476,-31.5549
-70.61967547703938,5.304601667104372,100.3921568627451,481946.8642254744,486946.8642254744,1,33994.23130602132,-19.9449
-76.21711963849515,4.798035738505424,2258.823529411765,81811.42729843258,86811.42729843258,1,34384.68941921119,-24.8295
-71.0524077437396,6.365682100756722,125.49019607843137,439406.5454332928,444406.5454332928,1,35647.42826282226,-66.4115
-69.86979903835707,5.757712434337892,100.3921568627451,563336.0645433194,568336.0645433194,1,34453.3517100437,-68.8357
-73.07120418591981,7.920403149416469,2484.705882352941,327536.8359747662,332536.8359747662,1,42046.87940052262,24.0464
-76.54039500890696,8.319827037320193,200.7843137254902,344403.9752214725,349403.9752214725,1,32037.768166402548,-26.1081
-73.78209204527751,1.1311717410214754,225.88235294117646,247567.72814727694,252567.72814727694,1,30529.34776690602,-85.1441
-72.91344731641856,6.220929441068762,3011.7647058823527,235114.5258791485,240114.5258791485,1,39257.18423407198,-2.8469
-71.565870328799,2.779071820086542,175.68627450980392,439345.7863502791,444345.7863502791,2,35870.11934646068,-44.5706
-75.26323343224148,2.704949903750486,978.8235294117646,88417.08495470064,93417.08495470064,2,44687.76520400093,0.2439
-67.49623772906195,2.215386595956324,100.3921568627451,886476.5856506134,891476.5856506134,2,34100.81843877333,-65.4716
-77.27503631139083,7.00638374680447,50.19607843137255,291063.3698043227,296063.3698043227,1,31501.851761213293,33.5284
-72.83485306769069,1.344032052552488,527.0588235294117,345922.2935631335,350922.2935631335,1,33016.599173623414,-80.3123
-69.19542520643823,2.5009160939186517,175.68627450980392,696615.1579723523,701615.1579723523,2,36469.26493511552,7.0902
-76.33900575729405,8.18184605803237,301.1764705882353,320133.30858763366,325133.30858763366,1,32929.40032139861,-16.6149
-71.26709777959982,-0.8355388636114776,150.58823529411765,589825.7161824827,594825.7161824827,2,31651.48619806812,35.5762
-72.45106416242866,0.641968583137368,200.7843137254902,405020.52153961064,410020.52153961064,1,34022.783269418345,-43.3309
-74.77886132211067,0.8394490386758298,250.98039215686273,159761.95009253878,164761.95009253878,2,33740.79484265809,-8.0258
-77.73207300274778,2.7358948314071467,25.098039215686274,144917.5505045799,149917.5505045799,2,30466.12664285602,-11.2308
-70.24000156692183,-0.866371260087389,75.29411764705883,695577.0778008073,700577.0778008073,2,33072.56153325053,-27.5316
-71.98861297868808,4.130395997265721,225.88235294117646,354807.4119377413,359807.4119377413,2,33846.89092485774,-65.6771
-73.84685098814009,0.5589765160951208,200.7843137254902,266154.33780298213,271154.33780298213,2,31058.004885511902,17.6472
-71.26720095032654,1.0463845313221132,200.7843137254902,523146.28542871686,528146.2854287168,1,32601.76115613345,4.0974
-70.96194411526272,1.2212632646775523,301.1764705882353,554266.8934886425,559266.8934886425,1,33532.874494015996,41.0907
-74.59954417123888,5.793032272869491,200.7843137254902,42981.04852029263,47981.04852029263,1,38424.72940145094,9.2338
-68.3849467118709,4.87209056898606,75.29411764705883,733137.6452490938,738137.6452490938,1,36798.43341623447,19.3347
-74.61534653686716,2.4444925006533094,351.37254901960785,151116.52532728962,156116.52532728962,1,35284.0738563264,26.811
-76.17866880996688,8.45402666136196,100.3921568627451,339652.1167652354,344652.1167652354,1,31928.272390577262,-9.3515
-71.93795172025835,5.952525671622556,376.4705882352941,336019.57960344007,341019.57960344007,1,36852.44160196102,-94.6355
-76.06001157061719,7.9166342878413065,803.1372549019608,279869.3992401096,284869.3992401096,1,34618.693883819935,-8.7822
-73.50119576294617,0.39372952140792883,200.7843137254902,308641.0054828389,313641.0054828389,2,33089.51291148209,46.4688
-71.3804382237411,6.438626661806875,150.58823529411765,405439.2726198202,410439.2726198202,1,35827.319639755646,-83.5239
-73.54210178213782,5.412880517019628,3287.843137254902,159116.1897913587,164116.1897913587,1,43564.00018296643,25.0547
-72.16100159747248,2.375598322354157,175.68627450980392,403323.8496424842,408323.8496424842,2,33674.67860919144,52.0936
-70.54820790579082,-3.791271859437533,75.29411764705883,834303.3137571735,839303.3137571735,1,32921.85971640821,5.9174
-69.36581417354805,1.030283854418002,150.58823529411765,732973.4687084995,737973.4687084995,1,34699.495583261996,14.6356
-73.54462042096645,3.0033918299123696,250.98039215686273,238493.53801915742,243493.53801915742,2,35392.520356043315,49.3684
-68.77651303485457,4.6581593232970135,75.29411764705883,693594.1932864567,698594.1932864567,1,36343.836190543836,41.3545
-71.91096901081195,0.36313396304313716,175.68627450980392,471819.58017043665,476819.58017043665,1,31770.123322455427,9.9955
-70.07652236174611,1.7873819447487111,200.7843137254902,636375.9180218355,641375.9180218355,2,34771.427166219706,-26.2191
-74.44077468644663,2.0304378284378135,326.27450980392155,167108.8552529916,172108.8552529916,1,33420.990065044716,10.806
-69.68572054051597,5.496606487209025,100.3921568627451,583950.772388072,588950.772388072,1,34942.13086341668,-50.3732
-76.78802688220594,5.461208361240775,75.29411764705883,160192.40672699883,165192.40672699883,2,33704.80175584351,30.7571
-68.79156342538853,4.08752927569993,125.49019607843137,705118.088252714,710118.088252714,2,35334.12303855394,60.0349
-72.75683503382552,-2.2672382607436297,125.49019607843137,539409.3958021739,544409.3958021739,1,31569.450810917526,36.5533
-71.42346432330223,6.647142928088032,150.58823529411765,406430.0661072082,411430.0661072082,1,36398.987311456745,-53.5707
-74.49172532420813,6.930146923183079,451.7647058823529,151566.33425520314,156566.33425520314,1,37416.87229243605,12.6434
-75.38676035546074,1.5525103903773987,501.96078431372547,63425.20907468775,68425.20907468775,1,36225.19513533153,26.3951
-72.03476945968436,0.7973698063300789,175.68627450980392,444830.6402195754,449830.6402195754,1,31453.614898351945,-101.5913
-72.8980351868897,4.562719145906403,200.7843137254902,253293.093287019,258293.093287019,3,37533.8920301717,-74.7874
-72.0481452976935,4.632784467432957,150.58823529411765,341707.3569958321,346707.3569958321,2,35600.69862304857,21.2822
-69.8588293737479,5.853323144314798,75.29411764705883,564829.6592341509,569829.6592341509,1,34615.84994246365,-66.7273
-76.8851679109201,3.271493815383079,1480.7843137254902,102664.06543652192,107664.06543652192,1,35029.44403512745,-5.6664
-72.53746167742858,-0.8475127193700849,175.68627450980392,462861.9287724413,467861.9287724413,1,32164.30819702068,-10.6946
-71.64670884112364,1.8527377205698636,250.98039215686273,474982.6548345313,479982.6548345313,1,32506.406722746484,52.8546
-71.23401568840086,1.6297784873578847,200.7843137254902,520954.0919896276,525954.0919896276,1,33645.5329727997,66.9953
-73.24572125043318,5.16212721011072,2936.470588235294,197348.19746801816,202348.19746801816,1,40674.9939625897,-37.4954
-77.2394219208504,2.931572457478639,125.49019607843137,114266.12031433855,119266.12031433855,8,31483.934538187852,2.4662
-69.9303546500848,5.913312396062116,75.29411764705883,557205.3701130459,562205.3701130459,1,34467.2159470626,-54.2895
-69.85154070173601,-2.267919976480531,125.49019607843137,800570.7203504479,805570.7203504479,1,33071.01692530752,32.8864
-72.13339241427094,0.5229675208466045,175.68627450980392,442701.77298480837,447701.77298480837,1,32585.655269406852,19.0954
-74.34240041355196,10.307020750231523,75.29411764705883,522389.38554532564,527389.3855453257,1,33281.552579578056,-40.7219
-70.95563263088664,5.672431975263681,100.3921568627451,443106.40985802945,448106.40985802945,1,35796.847812237014,29.2422
-69.11042684261022,2.8613316622116054,100.3921568627451,694562.8452770483,699562.8452770483,2,36369.811575947795,-39.8861
-73.52921042958037,6.48160638968138,853.3333333333334,183306.43632258958,188306.43632258958,1,43926.20113317491,-0.9196
-76.78758179897295,2.39002754509995,1355.2941176470588,38212.62536907302,43212.62536907302,2,41084.65699757006,-61.038
