OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length
24668,n4n6-Sc,,Arenitas líticas con intercalaciones de arcillolitas de color gris verdoso y conglomerados,Serravaliano-Mesiniano,Grupo Honda,,3c5d3fb0-0096-43b1-9508-144ffbba7e7e,0.00742377346283263,1.10584527639019
24669,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,f249a6c2-1a40-4458-bc5e-0549831de1f5,0.0139655880491603,3.28120586196789
24670,K1-VCm5,,"Basaltos y andesitas intercalados con arenitas lodosas líticas, lodolitas carbonosas, arenitas feldespáticas, calizas y limolitas silíceas.",Cretácico Inferior,"Formación Quebradagrande, Miembro Volcánico",,9c3cfe13-c9be-4fce-8fbf-ec32c45cf719,0.0880637081306759,6.20698665429153
24671,N1-St,,"Arcillolitas, limolitas, arenitas y conglomerados",Mioceno,Formación Esmita,,496d4803-c4cf-4f1b-9d3a-9080b20a626f,0.0170401514498195,1.19042106260515
24672,J-Vf,,Riolitas,Jurásico,,,0e0e7a88-7333-44f8-8010-aeaabd4d5cfa,0.00346246508956938,0.492717809091886
24673,k6E1-Stm,,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.,Maastrichtiano-Paleoceno,Formación Guaduas,,bf5ceeda-8310-4026-bdb6-0cf856bbe8f2,0.0014096164841817,0.360787100291514
24674,T-Mbg3,,"Esquistos grafíticos, cuarzomoscovíticos, cloríticos y anfibólicos; filitas; cuarcitas; mármoles, y serpentinitas.",Triásico,Grupo Cajamarca,,588ded5e-ad97-4b7c-b17b-2b01a5154011,0.0111648575493462,1.23794319844275
24675,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,3de7386f-3525-4fdf-9306-4b5e1ee84928,0.00305003454866437,0.621051122192448
24676,E3N1-Stm,,"Intercalaciones de arenitas localmente conglomeráticas, lodolitas y arcillolitas. Ocasionalmente, delgadas capas de carbón.",Oligoceno-Mioceno,,,45619540-7854-4e77-81de-4c56bda629dc,0.0701309107007546,2.43725277877582
24677,E2-Pi,,Granodioritas que varían a cuarzodioritas y cuarzomonzonitas,Eoceno,Batolito El Bosque,,97df1ecf-14b2-48b2-8bb6-14a78b9eff05,0.0389503785572174,1.64695064276979
24678,k6-Stm,,Arcillolitas grises y negras y arcillolitas abigarradas con intercalaciones de cuarzoarenitas de grano fino a grueso. Frecuentes mantos de carbón.,Maastrichtiano,Formación Guaduas,,d8a6adff-1cd7-4e5e-be6d-191bd7fa0929,0.000502325827739014,0.232371815223755
24679,Q2-m,,"Depósitos de gravas y arenas acumulados en playas, y de lodos ricos en materia orgánica asociados al desarrollo de manglares.",Holoceno,,,4f88f171-64fe-4b4f-b8ed-9c399867d46e,0.000801930111549609,0.436980087075294
24680,n6n7-VCc,,Basaltos y andesitas basálticas porfiríticas con fenocristales de granate intercalados con aglomerados y tobas. Predominio de epiclastos hacia el este.,Mesiniano-Zancleano,Formación Combia,,c0ce728f-e5d9-405a-92ae-337771a1f7ed,0.0932728017299098,3.70507225731977
24681,J-Pi,,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,Jurásico,,,7321b287-4a03-4742-86ec-09587d45102e,0.0309738657328467,2.32387335691226
24682,Q2-m,,"Depósitos de gravas y arenas acumulados en playas, y de lodos ricos en materia orgánica asociados al desarrollo de manglares.",Holoceno,,,f797f684-d2cf-4ccf-9b43-5f47d9bfe2a1,0.0583951077385336,2.74362104466284
24683,J-VCc,,"Tobas, aglomerados y lavas; ocasionalmente, intercalaciones de capas rojas de arenitas líticas y limolitas.",Jurásico,Formación Saldaña,,e752e326-bd42-4838-8b4f-6c159ccfd203,0.126468108206893,5.89327674441722
24684,Q-t,,Terrazas aluviales,Cuaternario,,,08cf693e-d751-4662-a59d-7f0cf099473a,0.0101413838105202,1.89142231234313
24685,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,Formación Raposo,,8b2402fe-5d1d-47ef-896c-8e101dbd9a3f,0.026415053481557,1.23359315460875
24686,e5e6-Sm,,"Arenitas líticas de grano medio a conglomeráticas, calizas y conglomerados.",Lutetiano-Bartoniano,,,44e10edc-a5da-439e-800c-9ec72de121ab,0.0100852072206976,1.91903139503762
24687,Q2-vc,,Flujos volcanoclásticos constituidos por piroclastos y epiclastos de composición andesítica y dacítica,Holoceno,,,f752ac0a-e0f8-4a16-8936-e5ea0edda24d,0.0104447314374738,1.71111152613733
24688,k1k6-Stm,,"Shales, calizas, fosforitas, cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.",Cenomaniano-Maastrichtiano,,,06452e76-8b51-4aa4-9d0d-a9492a644ee0,0.0398054973127842,3.10161128022616
24689,k1k6-Stm,,"Shales, calizas, fosforitas, cherts y cuarzoarenitas. Predominio de facies finas al norte del Cocuy y facies más arenosas al sur.",Cenomaniano-Maastrichtiano,,,5b43030b-36de-4b3c-af80-631a111387d0,0.0120576494302043,1.59412149374475
24690,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,Formación Raposo,,ce78665e-7b7a-4967-a7b0-e745f7e77070,0.0150785909473257,2.18325431587845
24691,N1-Sc,,"Conglomerados y arenitas poco consolidados con matriz ferruginosa y arcillosa. También arcillolitas con intercalaciones de limolitas, lodolitas arenosas y arenitas.",Mioceno,,,7894c20b-cad5-4268-aa28-75c4912a365b,0.0384249082071335,2.90577494003737
24692,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,fea756b3-4e0e-4b8e-a6dd-f96f0869b26c,0.00292567283079848,0.3621138401675
24693,E2-Pi,,Granodioritas que varían a cuarzodioritas y cuarzomonzonitas,Eoceno,Batolito de Mandé,,e94b468b-ba5b-4e13-8d73-bbe5096c61b3,0.0322712396568079,1.34232208410485
24694,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,b7a05d00-998f-4923-acde-74bad68022c8,0.002010749761439,0.400282435522102
24695,e6e9-Sc,,"Intercalaciones de capas rojas de conglomerados, arenitas líticas conglomeráticas y arcillolitas.",Bartoniano-Chatiano,Formación Pepino,,06c97635-91ec-444f-8af5-5a75023add02,0.0088675160161813,1.25962767758459
24696,b6k6-Stm,,"Shales, calizas, arenitas, cherts y fosforitas",Albiano-Maastrichtiano,,,db85b2a9-9650-479a-bd23-1d5ffe646c86,0.0200599094394533,1.73728322316724
24697,E1-Sc,,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,Formación Lisama,,12865e5b-87c5-4494-b918-ac5c4682ce1a,0.0149294409375216,0.916125659397553
24698,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,6ac1350b-3928-4dc6-ac5d-a8fdd7aa9624,0.00401610215720893,0.709289588569188
24699,N2-Vi,,Lavas e ignimbritas de composición andesítica,Plioceno,,,155fcbd8-7ef7-4657-99a2-48bdb7b07873,0.0208018647674351,3.79142540958865
24700,MP3NP1-Mag2,,"Gneises cuarzofeldespáticos, migmatitas, granulitas, anfibolitas, ortogneises, cuarcitas y mármoles.",Esténico-Tónico,,,df0a2669-2895-412b-b1c1-81c8f283902f,0.882494049591628,15.5436634471229
24701,T-Pi,,"Granodioritas, cuarzomonzonitas y granitos alcalinos con variaciones a dioritas y tonalitas.",Triásico,Batolito de Sonsón,,7d0ba49f-19ae-41c8-91d7-2993ba45ba79,0.00659438812778035,0.556719629689929
24702,T-Pi,,"Granodioritas, cuarzomonzonitas y granitos alcalinos con variaciones a dioritas y tonalitas.",Triásico,Batolito de Sonsón,,088b7475-0339-4361-8a5b-e954e0e690f3,0.00042478935716872,0.10198802623198
24703,T-Pi,,"Granodioritas, cuarzomonzonitas y granitos alcalinos con variaciones a dioritas y tonalitas.",Triásico,Batolito de Sonsón,,69f81af2-e725-494e-85ec-c341ae67262d,0.011831939035801,0.767692212408523
