OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length,Basement
22401,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,,,8478fcb5-41a5-4ab6-a844-5914352bd19a,0.0002386586791089,0.063959369907591,no
22402,e8n2-St,,Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,Rupeliano-Burdigaliano,,,39eb0fcf-f015-4011-acb0-d65f7fb5e186,0.0076581680903018,0.605811467009004,no
22403,e8n2-St,,Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,Rupeliano-Burdigaliano,,,996ca83f-d024-462c-834e-a6d40a3fcdef,0.0009016025000505,0.125619101910994,no
22404,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,,,13450c89-9346-4c1b-a084-0885d7dbdc66,0.0011638521973509,0.193460500307765,yes
22405,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,,,4d3eb294-ebbc-4620-b932-4f2e040286dc,0.0015895917088641,0.316602061273356,yes
22406,k2k6-Sm7,,"Lodolitas; arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Localmente cataclasitas.",Turoniano-Maastrichtiano,,,6ad7ab52-975e-45e5-96dc-7b171663675e,0.0026908289183893,0.25948546090448,no
22407,e8n2-St,,Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,Rupeliano-Burdigaliano,,,5866008b-b14c-4827-81a5-0883384b42d7,0.054959215855547,3.30309077953828,no
22408,Q-t,,Terrazas aluviales,Cuaternario,,,328a95d1-186e-4d5d-bf83-d6f105c800be,0.0006757029809136,0.118557267133721,no
22409,Q-t,,Terrazas aluviales,Cuaternario,,,799dcd6d-5eeb-4feb-9d81-dae676698a56,0.0003155855057457,0.105862075961559,no
22410,Q-t,,Terrazas aluviales,Cuaternario,,,103d99a9-c182-4aca-bc93-edc52779ac79,0.0001772410192302,0.0700845824421371,no
22411,Q-t,,Terrazas aluviales,Cuaternario,,,1a18125e-253e-44c5-954b-b09078148ce0,0.0004582009531191,0.10884631337529,no
22412,Q-t,,Terrazas aluviales,Cuaternario,,,f6a60b74-5b5e-4982-80d6-a466b5b6f106,0.0002227174650215,0.0772129563448128,no
22413,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,8c75b8a8-6e29-48b6-b020-88f0c25be4b7,0.015608185478186,0.847225288864556,no
22414,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,48913fe9-8a6e-49ea-9a40-6fcf3d623e04,0.0228162837571517,1.27166115215792,no
22415,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,,,74a66216-2f49-4da3-9ebc-9584a11b2163,0.0001040457653971,0.0586559973853214,no
22416,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,3706b802-18c5-498e-b610-297ed7b9e0b8,0.0003323254158544,0.107774329527409,no
